Type,Name,Position/Role,Nationality,Gender,Shares Owned,Share Type,Amount (PhP),% Ownership,TIN
Stockholder,ROMEO C. MIRANDA,President & Chairman,Filipino,M,"265,000",COMMON,"265,000,000.00",88.33%,
Stockholder,EDNA T. MIRANDA,Corporate Treasurer,Filipino,F,"12,300",COMMON,"12,300,000.00",4.10%,
Stockholder,ROMEL C. MIRANDA,Stockholder,Filipino,M,"2,700",COMMON,"2,700,000.00",0.90%,
Stockholder,RENN ERROL T. MIRANDA,Board Member,Filipino,M,"4,000",COMMON,"4,000,000.00",1.33%,
Stockholder,REGENE ANN M. GESMUNDO,Corporate Secretary,Filipino,F,"4,000",COMMON,"4,000,000.00",1.33%,
Stockholder,RIA JANELLI T. MIRANDA,Stockholder,Filipino,F,"4,000",COMMON,"4,000,000.00",1.33%,
Stockholder,ERICKA LOUISE T. MIRANDA,Stockholder,Filipino,F,"4,000",COMMON,"4,000,000.00",1.33%,
Stockholder,MIKAELA ROSE T. MIRANDA,Stockholder,Filipino,F,"4,000",COMMON,"4,000,000.00",1.33%,
Officer/Director,ROMEO C. MIRANDA,President & Chairman,Filipino,M,"265,000",COMMON,"265,000,000.00",88.33%,
Officer/Director,EDNA T. MIRANDA,Corporate Treasurer,Filipino,F,"12,300",COMMON,"12,300,000.00",4.10%,
Officer/Director,RENN ERROL T. MIRANDA,Board Member,Filipino,M,"4,000",COMMON,"4,000,000.00",1.33%,
Officer/Director,REGENE ANN M. GESMUNDO,Corporate Secretary & Board Member,Filipino,F,"4,000",COMMON,"4,000,000.00",1.33%,
