Type,Name,Position/Role,Nationality,Gender,Shares Owned,Share Type,Amount (PhP),% Ownership,TIN
Stockholder,MATTHEW CARL C. DISCAYA,President & Chairman,Filipino,M,"21,552",COMMON,"244,873,600.00",94.53%,
Stockholder,JANINE P. BALADJAY,Corporate Secretary & Board Member,Filipino,F,100,COMMON,"3,540,000.00",1.37%,
Stockholder,DENNIS L. MANANSALA JR.,Board Member,Filipino,M,100,COMMON,"3,540,000.00",1.37%,
Stockholder,MA. VERONICA V. NUESTRO,Board Member,Filipino,F,100,COMMON,"3,540,000.00",1.37%,
Stockholder,KIRSTINE MAE M. TUMPALAN,Corporate Treasurer & Board Member,Filipino,F,100,COMMON,"3,540,000.00",1.37%,
Officer/Director,MATTHEW CARL C. DISCAYA,President & Chairman,Filipino,M,"21,552",COMMON,"244,873,600.00",94.53%,
Officer/Director,JANINE P. BALADJAY,Corporate Secretary & Board Member,Filipino,F,100,COMMON,"3,540,000.00",1.37%,
Officer/Director,DENNIS L. MANANSALA JR.,Board Member,Filipino,M,100,COMMON,"3,540,000.00",1.37%,
Officer/Director,MA. VERONICA V. NUESTRO,Board Member,Filipino,F,100,COMMON,"3,540,000.00",1.37%,
Officer/Director,KIRSTINE MAE M. TUMPALAN,Corporate Treasurer & Board Member,Filipino,F,100,COMMON,"3,540,000.00",1.37%,
