Type,Name,Position/Role,Nationality,Gender,Incorporator,Shares Owned,Share Type,Amount (PhP),% Ownership,TIN
Stockholder,MA. ROMA ANGELINE D. RIMANDO,President & Chairman,Filipino,F,Y,"403,635",COMMON,"887,997,000.00",85.00%,
Stockholder,MARY FAITH I. GLEAN,Board Member,Filipino,F,N,"25,000",COMMON,"55,000,000.00",5.00%,
Stockholder,JERRY T. PANTI,Corporate Treasurer & Board Member,Filipino,M,Y,"10,000",COMMON,"22,000,000.00",2.00%,
Stockholder,BETH B. CAGURANGAN,Corporate Secretary & Board Member,Filipino,F,N,"5,000",COMMON,"11,000,000.00",1.00%,
Stockholder,KAMILLE ANDREA A. MAYBITUIN,Board Member,Filipino,F,N,"30,000",COMMON,"66,000,000.00",6.00%,
Officer/Director,MA. ROMA ANGELINE D. RIMANDO,President & Chairman,Filipino,F,Y,"403,635",COMMON,"887,997,000.00",85.00%,
Officer/Director,MARY FAITH I. GLEAN,Board Member,Filipino,F,N,"25,000",COMMON,"55,000,000.00",5.00%,
Officer/Director,JERRY T. PANTI,Corporate Treasurer & Board Member,Filipino,M,Y,"10,000",COMMON,"22,000,000.00",2.00%,
Officer/Director,BETH B. CAGURANGAN,Corporate Secretary & Board Member,Filipino,F,N,"5,000",COMMON,"11,000,000.00",1.00%,
Officer/Director,KAMILLE ANDREA A. MAYBITUIN,Board Member,Filipino,F,N,"30,000",COMMON,"66,000,000.00",6.00%,
