Type,Name,Position/Role,Nationality,Gender,Incorporator,Shares Owned,Share Type,Amount (PhP),% Ownership,TIN
Stockholder,EUMIR S. VILLANUEVA,President & Chairman,Filipino,M,Y,"2,803,500",COMMON,"28,035,000.00",68.57%,
Stockholder,PAMELA A. VILLANUEVA,Corporate Treasurer & Board Member,Filipino,F,Y,"1,146,530",COMMON,"11,465,300.00",28.04%,
Stockholder,ETHAN PATRICK A. VILLANUEVA,Stockholder,Filipino,M,N,"1,299,940",COMMON,"12,999,400.00",3.18%,
Stockholder,ARLENE V. DY-HENRY,Board Member,Filipino,F,Y,10,COMMON,100.00,0.00%,
Stockholder,IRWIN S. VILLANUEVA,Corporate Secretary & Board Member,Filipino,M,Y,10,COMMON,100.00,0.00%,
Stockholder,FATIMA S. VILLANUEVA,Board Member,Filipino,F,Y,10,COMMON,100.00,0.00%,
Officer/Director,EUMIR S. VILLANUEVA,President & Chairman,Filipino,M,Y,"2,803,500",COMMON,"28,035,000.00",68.57%,
Officer/Director,PAMELA A. VILLANUEVA,Corporate Treasurer,Filipino,F,Y,"1,146,530",COMMON,"11,465,300.00",28.04%,
Officer/Director,IRWIN S. VILLANUEVA,Corporate Secretary,Filipino,M,Y,10,COMMON,100.00,0.00%,
Officer/Director,ARLENE V. DY-HENRY,Board Member,Filipino,F,Y,10,COMMON,100.00,0.00%,
Officer/Director,FATIMA S. VILLANUEVA,Board Member,Filipino,F,Y,10,COMMON,100.00,0.00%,
